equipment_id,equipment_type,age,maintenance_count,cost,risk_impact,labor_hours,failure_probability
EQUIP_0001,fuse_cutout,6,1,1652,1.02,2,0.296
EQUIP_0002,electric_pole,7,0,2302,1.29,4,0.457
EQUIP_0003,electric_pole,15,2,2711,1.31,4,0.51
EQUIP_0004,insulator,13,2,1099,1.53,1,0.405
EQUIP_0005,capacitor_bank,3,2,3716,1.25,4,0.354
EQUIP_0006,insulator,10,1,1345,0.91,2,0.453
EQUIP_0007,transformer,10,0,9056,2.94,19,0.725
EQUIP_0008,fuse_cutout,12,2,2018,1.51,3,0.395
EQUIP_0009,fuse_cutout,6,2,1811,0.86,3,0.249
EQUIP_0010,insulator,15,6,1459,1.69,1,0.475
EQUIP_0011,transformer,22,4,10457,3.35,12,1
EQUIP_0012,electric_pole,3,0,1727,1.36,6,0.216
EQUIP_0013,capacitor_bank,10,2,3733,1.41,4,0.536
EQUIP_0014,insulator,5,1,962,0.76,2,0.41
EQUIP_0015,switchgear,19,3,7832,2.62,11,0.79
EQUIP_0016,circuit_breaker,2,0,5595,2.22,14,0.566
EQUIP_0017,insulator,9,6,1259,1.29,1,0.331
EQUIP_0018,circuit_breaker,7,0,6362,2.87,13,0.673
EQUIP_0019,fuse_cutout,3,1,1647,1.46,2,0.253
EQUIP_0020,insulator,17,2,1417,1.17,2,0.676
EQUIP_0021,insulator,15,4,1198,1.13,1,0.384
EQUIP_0022,circuit_breaker,7,2,6890,2.98,13,0.728
EQUIP_0023,transformer,16,3,8469,3.5,13,0.912
EQUIP_0024,capacitor_bank,10,1,3550,1.78,4,0.425
EQUIP_0025,circuit_breaker,6,1,7601,2.47,15,0.681
EQUIP_0026,electric_pole,12,2,2379,1.45,6,0.501
EQUIP_0027,circuit_breaker,10,1,7341,2.92,13,0.719
EQUIP_0028,capacitor_bank,19,2,3467,1.82,6,0.65
EQUIP_0029,insulator,5,0,1070,1.04,2,0.278
EQUIP_0030,fuse_cutout,11,8,1558,1.52,3,0.458
EQUIP_0031,electric_pole,13,0,2117,1.14,4,0.476
EQUIP_0032,insulator,14,5,1408,1.6,2,0.462
EQUIP_0033,electric_pole,21,6,3210,1.58,7,0.676
EQUIP_0034,electric_pole,13,5,2514,1.17,6,0.605
EQUIP_0035,insulator,7,4,1013,1.09,2,0.342
EQUIP_0036,capacitor_bank,6,2,2800,1.87,5,0.463
EQUIP_0037,fuse_cutout,11,5,1756,1.26,2,0.345
EQUIP_0038,transformer,11,4,10257,3.34,19,0.929
EQUIP_0039,circuit_breaker,14,3,7790,2.7,14,0.754
EQUIP_0040,electric_pole,8,3,2669,1.44,4,0.47
EQUIP_0041,circuit_breaker,7,4,6220,2.32,14,0.585
EQUIP_0042,transformer,19,4,9942,3.29,13,0.997
EQUIP_0043,circuit_breaker,12,6,6350,2.42,13,0.703
EQUIP_0044,insulator,15,4,1417,1.41,1,0.487
EQUIP_0045,circuit_breaker,13,3,7963,2.62,8,0.8
EQUIP_0046,transformer,28,7,14086,3.58,14,1
EQUIP_0047,insulator,9,1,1321,1.33,1,0.32
EQUIP_0048,capacitor_bank,12,0,3864,2.19,5,0.538
EQUIP_0049,electric_pole,6,0,2431,1.67,6,0.348
EQUIP_0050,fuse_cutout,9,1,2011,0.9,3,0.345
EQUIP_0051,transformer,4,1,9488,3.05,12,0.754
EQUIP_0052,transformer,16,3,9399,3.29,15,0.96
EQUIP_0053,fuse_cutout,14,5,1784,1.29,3,0.453
EQUIP_0054,transformer,20,5,11417,3.54,13,0.971
EQUIP_0055,fuse_cutout,10,2,2038,1.62,2,0.472
EQUIP_0056,switchgear,11,2,5279,2.01,11,0.634
EQUIP_0057,electric_pole,15,6,2487,1.6,4,0.581
EQUIP_0058,switchgear,1,0,4420,2.33,9,0.444
EQUIP_0059,insulator,25,4,1692,1.31,2,0.659
EQUIP_0060,electric_pole,20,6,2443,2.03,6,0.595
EQUIP_0061,capacitor_bank,1,0,2573,1.86,5,0.298
EQUIP_0062,insulator,5,1,1291,1.47,1,0.427
EQUIP_0063,insulator,17,2,1534,1.76,1,0.573
EQUIP_0064,switchgear,4,0,4700,2.1,9,0.468
EQUIP_0065,fuse_cutout,17,5,1848,1.27,2,0.507
EQUIP_0066,switchgear,12,0,6130,2.35,7,0.627
EQUIP_0067,circuit_breaker,22,2,9515,2.87,14,0.762
EQUIP_0068,circuit_breaker,8,1,6185,2.48,13,0.634
EQUIP_0069,transformer,10,4,9240,3.11,12,0.831
EQUIP_0070,circuit_breaker,1,0,5531,2.43,12,0.558
EQUIP_0071,capacitor_bank,2,2,3202,1.94,4,0.322
EQUIP_0072,transformer,35,9,15313,3.87,11,1
EQUIP_0073,electric_pole,1,0,2378,1.16,5,0.339
EQUIP_0074,circuit_breaker,4,1,7557,2.78,12,0.569
EQUIP_0075,capacitor_bank,7,2,3790,1.36,3,0.364
EQUIP_0076,transformer,23,1,9354,3.95,11,1
EQUIP_0077,switchgear,11,6,6074,2.05,12,0.609
EQUIP_0078,insulator,8,2,983,1.38,1,0.35
EQUIP_0079,insulator,5,1,1142,0.91,1,0.301
EQUIP_0080,circuit_breaker,7,3,7490,2.69,11,0.629
EQUIP_0081,switchgear,13,4,6621,2.62,12,0.662
EQUIP_0082,circuit_breaker,11,0,7224,2.61,14,0.753
EQUIP_0083,transformer,24,9,11373,3.87,13,1
EQUIP_0084,switchgear,2,0,5781,1.93,7,0.421
EQUIP_0085,circuit_breaker,1,0,7086,2.81,11,0.487
EQUIP_0086,switchgear,17,1,7856,2.61,8,0.728
EQUIP_0087,circuit_breaker,8,3,7863,2.58,13,0.607
EQUIP_0088,switchgear,10,1,5184,2.12,8,0.554
EQUIP_0089,insulator,14,4,1027,1.18,2,0.487
EQUIP_0090,transformer,4,1,7891,2.71,15,0.662
EQUIP_0091,fuse_cutout,19,3,2170,1.11,3,0.59
EQUIP_0092,fuse_cutout,15,4,1773,1.77,2,0.439
EQUIP_0093,fuse_cutout,7,0,1457,1.47,3,0.315
EQUIP_0094,electric_pole,12,3,2702,1.7,4,0.5
EQUIP_0095,circuit_breaker,12,6,6048,3.14,12,0.739
EQUIP_0096,capacitor_bank,14,1,4072,1.71,5,0.595
EQUIP_0097,transformer,10,2,10982,3.47,11,0.766
EQUIP_0098,capacitor_bank,5,0,3276,1.39,4,0.403
EQUIP_0099,transformer,9,2,8184,2.91,17,0.766
EQUIP_0100,switchgear,8,3,6457,2.29,9,0.593
EQUIP_0101,capacitor_bank,13,1,3115,1.62,3,0.526
EQUIP_0102,insulator,1,1,833,0.75,1,0.154
EQUIP_0103,transformer,18,3,12885,3.38,19,0.922
EQUIP_0104,insulator,2,1,1195,1.37,1,0.292
EQUIP_0105,circuit_breaker,7,0,7595,2.6,12,0.571
EQUIP_0106,circuit_breaker,19,5,7919,3.35,10,0.939
EQUIP_0107,insulator,10,1,1384,1.2,1,0.498
EQUIP_0108,transformer,5,0,7630,2.75,18,0.63
EQUIP_0109,insulator,18,3,1624,1.15,1,0.567
EQUIP_0110,switchgear,8,0,4984,2.59,12,0.582
EQUIP_0111,switchgear,9,2,5033,1.94,12,0.543
EQUIP_0112,insulator,16,5,1382,1.7,2,0.616
EQUIP_0113,electric_pole,12,5,2584,1.35,7,0.467
EQUIP_0114,switchgear,14,5,6513,1.95,8,0.633
EQUIP_0115,electric_pole,10,3,2483,1.18,6,0.44
EQUIP_0116,insulator,32,10,1440,1.41,2,0.955
EQUIP_0117,electric_pole,9,1,2045,1.52,6,0.446
EQUIP_0118,electric_pole,8,1,1969,1.14,6,0.321
EQUIP_0119,circuit_breaker,6,0,7842,2.59,9,0.597
EQUIP_0120,insulator,16,3,1273,1.67,2,0.547
EQUIP_0121,transformer,18,2,11419,3.41,16,0.986
EQUIP_0122,circuit_breaker,10,1,7597,2.56,12,0.707
EQUIP_0123,transformer,12,3,11869,3,12,0.868
EQUIP_0124,fuse_cutout,16,3,1934,1.67,3,0.455
EQUIP_0125,electric_pole,19,6,3014,1.65,4,0.648
EQUIP_0126,insulator,13,2,1159,1.71,1,0.486
EQUIP_0127,capacitor_bank,7,2,3769,1.38,5,0.479
EQUIP_0128,capacitor_bank,10,1,3614,2.01,4,0.522
EQUIP_0129,fuse_cutout,8,0,1960,1.1,3,0.383
EQUIP_0130,capacitor_bank,5,0,2670,1.35,4,0.404
EQUIP_0131,circuit_breaker,13,2,7253,2.54,11,0.801
EQUIP_0132,insulator,9,1,1151,0.91,2,0.407
EQUIP_0133,electric_pole,2,0,2067,1.45,6,0.179
EQUIP_0134,fuse_cutout,7,4,1794,1.2,2,0.272
EQUIP_0135,fuse_cutout,14,2,1857,1.58,3,0.476
EQUIP_0136,fuse_cutout,16,5,2017,1.36,3,0.519
EQUIP_0137,electric_pole,4,2,2554,1.01,4,0.258
EQUIP_0138,transformer,10,3,9408,3.03,19,0.851
EQUIP_0139,insulator,5,0,1195,0.78,1,0.307
EQUIP_0140,transformer,5,1,7652,2.8,17,0.661
EQUIP_0141,capacitor_bank,12,3,3356,1.61,3,0.542
EQUIP_0142,transformer,7,2,9420,3.37,18,0.697
EQUIP_0143,fuse_cutout,16,2,1800,1.74,3,0.53
EQUIP_0144,switchgear,9,4,5806,2.5,11,0.613
EQUIP_0145,switchgear,21,3,8420,2.52,7,0.865
EQUIP_0146,electric_pole,7,1,2452,1.67,6,0.349
EQUIP_0147,circuit_breaker,11,1,8432,2.9,10,0.758
EQUIP_0148,insulator,9,2,1303,0.85,2,0.308
EQUIP_0149,switchgear,4,0,5709,2.32,8,0.312
EQUIP_0150,circuit_breaker,7,1,7644,2.35,12,0.751
EQUIP_0151,insulator,4,2,1220,1.1,1,0.374
EQUIP_0152,capacitor_bank,13,3,4136,1.61,4,0.599
EQUIP_0153,capacitor_bank,9,0,3412,2,4,0.426
EQUIP_0154,transformer,12,5,11319,3.08,14,0.77
EQUIP_0155,insulator,4,1,1179,1.31,1,0.23
EQUIP_0156,fuse_cutout,13,0,1539,1.15,2,0.459
EQUIP_0157,capacitor_bank,8,1,3462,1.33,3,0.339
EQUIP_0158,fuse_cutout,12,2,2103,1.53,3,0.395
EQUIP_0159,insulator,3,2,896,0.8,1,0.292
EQUIP_0160,fuse_cutout,5,1,1469,1.4,2,0.186
EQUIP_0161,insulator,3,0,874,1.09,2,0.228
EQUIP_0162,fuse_cutout,7,2,1454,1.3,2,0.322
EQUIP_0163,capacitor_bank,15,0,3221,1.85,6,0.591
